3.476 	 0.919 	 28.669 	 -11.078 	 37.220 	 56.281 	 0.500 
 3.356 	 0.679 	 29.130 	 -11.391 	 36.388 	 56.481 	 0.510 
 3.499 	 0.738 	 29.052 	 -10.596 	 35.983 	 52.675 	 0.520 
 3.429 	 0.900 	 29.445 	 -11.050 	 38.399 	 48.843 	 0.530 
 3.157 	 0.932 	 29.298 	 -10.404 	 37.985 	 53.782 	 0.540 
 3.523 	 1.447 	 29.700 	 -10.799 	 38.422 	 55.446 	 0.550 
 3.405 	 1.246 	 29.792 	 -10.686 	 36.927 	 50.904 	 0.560 
 3.288 	 1.422 	 29.630 	 -10.255 	 37.159 	 54.283 	 0.570 
 3.520 	 1.622 	 29.901 	 -10.245 	 38.293 	 47.920 	 0.580 
 3.032 	 1.601 	 30.043 	 -9.982 	 37.253 	 49.023 	 0.590 
 3.022 	 1.930 	 30.374 	 -9.945 	 37.582 	 51.833 	 0.600 
 3.409 	 1.654 	 30.454 	 -9.397 	 36.783 	 50.145 	 0.610 
 3.104 	 1.817 	 30.679 	 -9.542 	 37.685 	 52.067 	 0.620 
 3.176 	 2.130 	 30.619 	 -8.838 	 38.703 	 51.867 	 0.630 
 3.079 	 2.339 	 30.847 	 -8.839 	 38.221 	 47.404 	 0.640 
 3.349 	 2.166 	 31.198 	 -8.637 	 35.649 	 50.939 	 0.650 
 3.046 	 2.412 	 30.889 	 -8.422 	 36.585 	 46.802 	 0.660 
 3.203 	 2.293 	 31.403 	 -8.310 	 37.524 	 49.009 	 0.670 
 3.264 	 2.485 	 31.204 	 -8.576 	 37.935 	 46.660 	 0.680 
 2.810 	 2.630 	 31.270 	 -7.947 	 36.145 	 51.430 	 0.690 
 2.865 	 2.951 	 31.743 	 -8.148 	 38.839 	 48.184 	 0.700 
 3.113 	 2.793 	 31.842 	 -7.440 	 37.982 	 45.004 	 0.710 
 3.094 	 3.168 	 31.983 	 -7.262 	 36.225 	 49.892 	 0.720 
 2.779 	 3.022 	 31.836 	 -7.532 	 36.223 	 46.664 	 0.730 
 2.743 	 3.029 	 31.895 	 -6.887 	 38.641 	 48.579 	 0.740 
 2.756 	 3.085 	 32.061 	 -7.182 	 38.860 	 49.100 	 0.750 
 2.860 	 3.512 	 32.256 	 -6.721 	 38.487 	 43.334 	 0.760 
 3.125 	 3.532 	 32.573 	 -6.729 	 37.807 	 45.073 	 0.770 
 2.888 	 3.725 	 32.928 	 -6.488 	 36.729 	 45.749 	 0.780 
 2.731 	 3.729 	 32.566 	 -6.316 	 36.611 	 48.994 	 0.790 
 2.912 	 3.638 	 33.080 	 -6.387 	 36.877 	 45.469 	 0.800 
 2.661 	 3.891 	 32.958 	 -6.424 	 35.423 	 44.643 	 0.810 
 2.565 	 3.978 	 33.357 	 -5.726 	 35.386 	 42.013 	 0.820 
 2.936 	 4.233 	 33.149 	 -5.464 	 38.582 	 45.193 	 0.830 
 2.916 	 4.163 	 33.342 	 -5.952 	 36.240 	 45.661 	 0.840 
 2.777 	 4.184 	 33.299 	 -5.624 	 36.181 	 40.002 	 0.850 
 2.550 	 4.494 	 33.836 	 -5.122 	 36.204 	 41.871 	 0.860 
 2.721 	 4.647 	 33.761 	 -5.506 	 37.479 	 41.072 	 0.870 
 2.611 	 4.837 	 33.669 	 -4.964 	 35.580 	 40.519 	 0.880 
 2.536 	 4.573 	 33.775 	 -5.171 	 38.335 	 40.685 	 0.890 
 2.443 	 4.701 	 34.135 	 -4.321 	 36.560 	 45.714 	 0.900 
 2.876 	 4.953 	 34.397 	 -4.277 	 38.379 	 44.671 	 0.910 
 2.368 	 5.264 	 34.181 	 -4.270 	 35.714 	 39.045 	 0.920 
 2.858 	 5.300 	 34.692 	 -4.311 	 35.426 	 42.905 	 0.930 
 2.481 	 5.510 	 34.697 	 -3.690 	 37.450 	 39.418 	 0.940 
 2.483 	 5.631 	 34.512 	 -3.622 	 36.003 	 41.542 	 0.950 
 2.429 	 5.564 	 34.991 	 -3.423 	 37.663 	 42.450 	 0.960 
 2.732 	 5.826 	 35.007 	 -3.792 	 35.420 	 39.834 	 0.970 
 2.509 	 5.472 	 34.864 	 -3.210 	 37.948 	 37.349 	 0.980 
 2.441 	 5.655 	 35.255 	 -3.004 	 35.407 	 43.581 	 0.990 
 2.386 	 5.902 	 35.342 	 -2.920 	 38.404 	 37.903 	 1.000 
 2.409 	 5.789 	 35.239 	 -2.507 	 37.667 	 36.314 	 1.010 
 2.355 	 6.004 	 35.508 	 -2.578 	 37.534 	 41.559 	 1.020 
 2.441 	 6.298 	 35.639 	 -2.168 	 37.108 	 41.276 	 1.030 
 2.459 	 6.311 	 35.737 	 -1.878 	 38.268 	 40.608 	 1.040 
 2.507 	 6.542 	 36.101 	 -2.061 	 36.455 	 34.677 	 1.050 
 2.754 	 6.554 	 35.843 	 -1.438 	 35.658 	 38.606 	 1.060 
 2.278 	 6.759 	 36.276 	 -1.285 	 38.066 	 37.960 	 1.070 
 2.615 	 6.706 	 36.284 	 -1.606 	 37.097 	 34.556 	 1.080 
 2.485 	 6.923 	 36.128 	 -0.923 	 38.848 	 34.034 	 1.090 
 2.358 	 6.767 	 36.384 	 -1.481 	 36.124 	 33.158 	 1.100 
 2.648 	 7.031 	 36.642 	 -1.196 	 38.050 	 33.255 	 1.110 
 2.614 	 7.373 	 36.314 	 -0.614 	 36.739 	 35.276 	 1.120 
 2.513 	 7.449 	 36.646 	 -0.579 	 36.072 	 38.713 	 1.130 
 2.468 	 7.212 	 36.941 	 -0.669 	 35.391 	 32.670 	 1.140 
